IP,Access Time,HTTP Requests,Browser
10.82.55.89,19/Nov/2021:01:15:13 +0100,/~sgurubacha/DBWS/impct.css,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.55.89,19/Nov/2021:01:15:13 +0100,/~sgurubacha/DBWS/impct.css,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.55.89,19/Nov/2021:01:15:13 +0100,/~sgurubacha/DBWS/Pictures/D%20NATE.png,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.55.89,19/Nov/2021:01:15:13 +0100,/~sgurubacha/DBWS/Pictures/D%20NATE.png,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.55.89,19/Nov/2021:01:15:21 +0100,/~sgurubacha/DBWS/MainHeader/AdminMaintenance/Maintenance_login.php,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.55.89,19/Nov/2021:01:15:21 +0100,/~sgurubacha/DBWS/MainHeader/AdminMaintenance/Maintenance_login.php,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.55.89,19/Nov/2021:01:15:31 +0100,/~sgurubacha/DBWS/MainHeader/Donate.html,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.55.89,19/Nov/2021:01:15:31 +0100,/~sgurubacha/DBWS/MainHeader/Donate.html,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.55.89,19/Nov/2021:01:15:37 +0100,/~sgurubacha/DBWS/index.html,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.55.89,19/Nov/2021:01:15:37 +0100,/~sgurubacha/DBWS/index.html,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:10:02 +0100,/~sgurubacha/DBWS/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:10:02 +0100,/~sgurubacha/DBWS/impct.css,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:10:02 +0100,/~sgurubacha/DBWS/impct.css,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:10:02 +0100,/favicon.ico,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:10:28 +0100,/~sgurubacha/DBWS/MainHeader/Donate.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:10:28 +0100,/~sgurubacha/DBWS/MainHeader/Donate.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:10:39 +0100,/~sgurubacha/DBWS/Volunteer/VolunteerHere.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:10:39 +0100,/~sgurubacha/DBWS/Volunteer/VolunteerHere.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:10:56 +0100,/~sgurubacha/DBWS/Feed/feed.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:10:56 +0100,/~sgurubacha/DBWS/Feed/feed.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:12 +0100,/~sgurubacha/DBWS/MainHeader/AdminMaintenance/Maintenance_login.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:12 +0100,/~sgurubacha/DBWS/MainHeader/AdminMaintenance/Maintenance_login.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:19 +0100,/~sgurubacha/DBWS/MainHeader/AboutUs.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:19 +0100,/~sgurubacha/DBWS/MainHeader/AboutUs.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:20 +0100,/~sgurubacha/DBWS/MainHeader/Explore.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:20 +0100,/~sgurubacha/DBWS/MainHeader/Explore.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:21 +0100,/~sgurubacha/DBWS/Volunteer/VolunteerHere.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:21 +0100,/~sgurubacha/DBWS/Volunteer/VolunteerHere.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:22 +0100,/~sgurubacha/DBWS/MainHeader/AdminMaintenance/Maintenance.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:22 +0100,/~sgurubacha/DBWS/MainHeader/AdminMaintenance/Maintenance.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:24 +0100,/~sgurubacha/DBWS/User_SignUp/SignUp.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:24 +0100,/~sgurubacha/DBWS/User_SignUp/SignUp.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:44 +0100,/~sgurubacha/DBWS/MainFooter/TermsofService.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:44 +0100,/~sgurubacha/DBWS/MainFooter/TermsofService.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:46 +0100,/~sgurubacha/DBWS/MainFooter/Contacts.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:46 +0100,/~sgurubacha/DBWS/MainFooter/Contacts.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:49 +0100,/~sgurubacha/DBWS/MainFooter/FAQs.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:10:11:49 +0100,/~sgurubacha/DBWS/MainFooter/FAQs.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:11:06:55 +0100,/~sgurubacha/DBWS/Feed/feed.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:11:06:55 +0100,/~sgurubacha/DBWS/Feed/feed.php,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:12:46:05 +0100,/~sgurubacha/DBWS/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
